ФИО сотрудника,Достижение запланированных результатов (0-10),Комментарий о личных качествах,Личный вклад в результат,Качество взаимодействия (0-10),Рекомендации по улучшению,Общий рейтинг (0-10),Итоговая категория результата,Общий балл
Васильев В..И..,5,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",10,"Рекомендуется работать над улучшением процессов, внедрять инновации",4,Низкий результат,2
Сидоров П..М..,7,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",9,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",7,Хороший результат,3
Смирнов К..В..,7,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",5,"Следует развивать навыки менторства, делиться опытом с коллегами",5,Низкий результат,2
Волков С..С..,1,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",10,"Рекомендуется работать над улучшением процессов, внедрять инновации",3,Низкий результат,2
Волков В..С..,10,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",3,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",3,Низкий результат,2
Волков П..С..,6,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",5,"Рекомендуется работать над улучшением процессов, внедрять инновации",3,Низкий результат,2
Смирнов К..С..,8,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",1,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",1,Нет результата,1
Козлов В..В..,9,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",7,"Рекомендуется работать над улучшением процессов, внедрять инновации",10,Сверхрезультат,3
Волков И..В..,8,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",4,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",3,Низкий результат,2
Козлов П..М..,1,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",1,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",1,Нет результата,1
