,ФИО коллеги,Оцениваемая задача,Достижение запланированных результатов (0-10),Комментарий о личных качествах,Качество взаимодействия (0-10),Рекомендации по улучшению,Балл за результаты
Сотрудник 1,Смирнов В.С.,Миграция системы,10,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки презентации результатов,3
Сотрудник 2,Волков С.В.,Оптимизация процессов,6,"Системное мышление, внимание к деталям, ответственность",7,Усилить коммуникацию с командой,3
Сотрудник 3,Сидоров С.С.,Автоматизация процессов,5,"Техническая экспертиза, креативность, самостоятельность",8,Усилить коммуникацию с другими отделами,3
Сотрудник 4,Иванов В.В.,Миграция системы,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Усилить коммуникацию с командой,2
Сотрудник 5,Сидоров В.П.,Автоматизация процессов,10,"Техническая экспертиза, креативность, самостоятельность",6,Развивать навыки презентации результатов,3
Сотрудник 6,Иванов П.С.,Автоматизация процессов,5,"Организованность, внимательность, стрессоустойчивость",6,Усилить коммуникацию с другими отделами,2
Сотрудник 7,Волков П.М.,Оптимизация процессов,6,"Организованность, внимательность, стрессоустойчивость",10,Развивать навыки менторства,3
Сотрудник 8,Петров С.И.,Оптимизация производительности,7,"Системное мышление, внимание к деталям, ответственность",7,Развивать навыки менторства,3
Сотрудник 9,Петров К.С.,Разработка нового функционала,8,"Организованность, внимательность, стрессоустойчивость",9,Усилить коммуникацию с другими отделами,3
Сотрудник 10,Иванов К.М.,Улучшение безопасности,10,"Организованность, внимательность, стрессоустойчивость",9,Развивать навыки презентации результатов,3
Сотрудник 11,Михайлов В.С.,Улучшение безопасности,8,"Аналитическое мышление, внимательность к рискам",8,Улучшить документацию процессов,3
Сотрудник 12,Васильев С.П.,Разработка нового функционала,10,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки менторства,3
Сотрудник 13,Михайлов В.В.,Внедрение новых технологий,5,"Аналитическое мышление, внимательность к рискам",5,Усилить коммуникацию с командой,2
Сотрудник 14,Сидоров С.С.,Улучшение безопасности,8,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки менторства,3
Сотрудник 15,Сидоров П.В.,Улучшение безопасности,8,"Системное мышление, внимание к деталям, ответственность",5,Улучшить документацию процессов,3
Сотрудник 16,Петров И.С.,Разработка документации,7,"Техническая экспертиза, креативность, самостоятельность",10,Усилить коммуникацию с другими отделами,3
Сотрудник 17,Васильев В.К.,Внедрение новых технологий,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Развивать навыки презентации результатов,3
Сотрудник 18,Михайлов П.И.,Оптимизация производительности,7,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки презентации результатов,3
Сотрудник 19,Петров С.М.,Разработка документации,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Развивать навыки менторства,3
Сотрудник 20,Волков П.В.,Улучшение безопасности,5,"Аналитическое мышление, внимательность к рискам",5,Усилить коммуникацию с командой,2
Сотрудник 21,Иванов С.В.,Разработка нового функционала,10,"Системное мышление, внимание к деталям, ответственность",5,Усилить коммуникацию с командой,3
Сотрудник 22,Сидоров И.С.,Разработка документации,7,"Организованность, внимательность, стрессоустойчивость",7,Улучшить документацию процессов,3
Сотрудник 23,Петров И.В.,Миграция системы,10,"Организованность, внимательность, стрессоустойчивость",6,Усилить коммуникацию с командой,3
Сотрудник 24,Козлов В.С.,Разработка нового функционала,6,"Системное мышление, внимание к деталям, ответственность",8,Развивать навыки менторства,3
Сотрудник 25,Иванов В.С.,Оптимизация производительности,10,"Аналитическое мышление, внимательность к рискам",6,Усилить коммуникацию с командой,3
Сотрудник 26,Михайлов В.М.,Оптимизация процессов,8,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с командой,3
Сотрудник 27,Иванов С.К.,Разработка нового функционала,8,"Организованность, внимательность, стрессоустойчивость",5,Развивать навыки презентации результатов,3
Сотрудник 28,Петров П.В.,Разработка документации,7,"Организованность, внимательность, стрессоустойчивость",6,Усилить коммуникацию с командой,3
Сотрудник 29,Козлов П.И.,Автоматизация процессов,10,"Системное мышление, внимание к деталям, ответственность",6,Усилить коммуникацию с другими отделами,3
Сотрудник 30,Сидоров В.В.,Разработка нового функционала,9,"Аналитическое мышление, внимательность к рискам",7,Улучшить документацию процессов,3
Сотрудник 31,Васильев И.П.,Оптимизация производительности,7,"Организованность, внимательность, стрессоустойчивость",6,Усилить коммуникацию с командой,3
Сотрудник 32,Иванов М.М.,Улучшение безопасности,9,"Аналитическое мышление, внимательность к рискам",9,Усилить коммуникацию с другими отделами,3
Сотрудник 33,Козлов К.В.,Оптимизация процессов,7,"Организованность, внимательность, стрессоустойчивость",6,Усилить коммуникацию с другими отделами,3
Сотрудник 34,Иванов М.В.,Оптимизация процессов,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки менторства,3
Сотрудник 35,Васильев К.В.,Улучшение безопасности,8,"Системное мышление, внимание к деталям, ответственность",7,Усилить коммуникацию с другими отделами,3
Сотрудник 36,Васильев В.В.,Миграция системы,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Развивать навыки презентации результатов,3
Сотрудник 37,Волков С.В.,Автоматизация процессов,6,"Системное мышление, внимание к деталям, ответственность",10,Усилить коммуникацию с командой,3
Сотрудник 38,Козлов С.В.,Автоматизация процессов,5,"Аналитическое мышление, внимательность к рискам",8,Развивать навыки презентации результатов,3
Сотрудник 39,Иванов В.М.,Разработка нового функционала,10,"Аналитическое мышление, внимательность к рискам",5,Развивать навыки менторства,3
Сотрудник 40,Волков С.В.,Оптимизация процессов,6,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки менторства,3
Сотрудник 41,Иванов К.В.,Внедрение новых технологий,8,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки презентации результатов,3
Сотрудник 42,Васильев П.И.,Разработка нового функционала,7,"Техническая экспертиза, креативность, самостоятельность",5,Развивать навыки презентации результатов,2
Сотрудник 43,Козлов В.С.,Разработка документации,7,"Техническая экспертиза, креативность, самостоятельность",10,Усилить коммуникацию с командой,3
Сотрудник 44,Васильев С.С.,Улучшение безопасности,9,"Техническая экспертиза, креативность, самостоятельность",10,Развивать навыки презентации результатов,3
Сотрудник 45,Михайлов С.П.,Оптимизация производительности,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Развивать навыки презентации результатов,2
Сотрудник 46,Михайлов С.В.,Автоматизация процессов,7,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки менторства,3
Сотрудник 47,Волков С.С.,Миграция системы,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Усилить коммуникацию с командой,2
Сотрудник 48,Сидоров С.И.,Разработка документации,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки менторства,3
Сотрудник 49,Смирнов С.С.,Оптимизация процессов,7,"Системное мышление, внимание к деталям, ответственность",9,Развивать навыки менторства,3
Сотрудник 50,Петров К.П.,Разработка нового функционала,6,"Техническая экспертиза, креативность, самостоятельность",9,Улучшить документацию процессов,3
Сотрудник 51,Смирнов В.К.,Автоматизация процессов,9,"Системное мышление, внимание к деталям, ответственность",8,Усилить коммуникацию с другими отделами,3
Сотрудник 52,Иванов С.В.,Внедрение новых технологий,7,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки менторства,3
Сотрудник 53,Козлов С.П.,Оптимизация производительности,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки менторства,2
Сотрудник 54,Михайлов С.К.,Разработка нового функционала,7,"Системное мышление, внимание к деталям, ответственность",9,Развивать навыки презентации результатов,3
Сотрудник 55,Волков В.В.,Внедрение новых технологий,5,"Организованность, внимательность, стрессоустойчивость",10,Улучшить документацию процессов,3
Сотрудник 56,Козлов И.И.,Внедрение новых технологий,5,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки презентации результатов,2
Сотрудник 57,Смирнов В.П.,Внедрение новых технологий,10,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с другими отделами,3
Сотрудник 58,Козлов С.М.,Разработка нового функционала,7,"Системное мышление, внимание к деталям, ответственность",5,Улучшить документацию процессов,2
Сотрудник 59,Иванов М.П.,Оптимизация производительности,10,"Системное мышление, внимание к деталям, ответственность",5,Усилить коммуникацию с командой,3
Сотрудник 60,Волков С.М.,Оптимизация производительности,7,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с командой,2
Сотрудник 61,Сидоров К.И.,Разработка нового функционала,5,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с другими отделами,3
Сотрудник 62,Козлов К.К.,Разработка нового функционала,9,"Техническая экспертиза, креативность, самостоятельность",6,Усилить коммуникацию с другими отделами,3
Сотрудник 63,Иванов С.В.,Разработка нового функционала,8,"Организованность, внимательность, стрессоустойчивость",10,Развивать навыки менторства,3
Сотрудник 64,Петров К.В.,Разработка документации,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Развивать навыки презентации результатов,2
Сотрудник 65,Петров М.И.,Улучшение безопасности,7,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки менторства,3
Сотрудник 66,Васильев М.С.,Миграция системы,7,"Техническая экспертиза, креативность, самостоятельность",7,Развивать навыки менторства,3
Сотрудник 67,Смирнов В.К.,Улучшение безопасности,7,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с командой,3
Сотрудник 68,Волков К.К.,Разработка нового функционала,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Улучшить документацию процессов,3
Сотрудник 69,Михайлов С.В.,Разработка нового функционала,5,"Организованность, внимательность, стрессоустойчивость",8,Усилить коммуникацию с командой,3
Сотрудник 70,Иванов С.К.,Оптимизация процессов,6,"Аналитическое мышление, внимательность к рискам",6,Усилить коммуникацию с другими отделами,2
Сотрудник 71,Петров П.С.,Разработка нового функционала,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Улучшить документацию процессов,3
Сотрудник 72,Смирнов В.К.,Разработка нового функционала,8,"Техническая экспертиза, креативность, самостоятельность",7,Усилить коммуникацию с командой,3
Сотрудник 73,Сидоров В.В.,Улучшение безопасности,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Усилить коммуникацию с другими отделами,2
Сотрудник 74,Волков С.С.,Разработка нового функционала,10,"Техническая экспертиза, креативность, самостоятельность",5,Развивать навыки менторства,3
Сотрудник 75,Васильев К.П.,Внедрение новых технологий,10,"Системное мышление, внимание к деталям, ответственность",6,Развивать навыки презентации результатов,3
Сотрудник 76,Иванов К.С.,Оптимизация процессов,6,"Техническая экспертиза, креативность, самостоятельность",7,Улучшить документацию процессов,3
Сотрудник 77,Волков В.С.,Улучшение безопасности,7,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки менторства,3
Сотрудник 78,Васильев И.В.,Улучшение безопасности,9,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки презентации результатов,3
Сотрудник 79,Михайлов С.В.,Внедрение новых технологий,8,"Системное мышление, внимание к деталям, ответственность",6,Развивать навыки менторства,3
Сотрудник 80,Смирнов М.П.,Автоматизация процессов,10,"Аналитическое мышление, внимательность к рискам",5,Улучшить документацию процессов,3
Сотрудник 81,Васильев С.В.,Разработка нового функционала,9,"Системное мышление, внимание к деталям, ответственность",5,Улучшить документацию процессов,3
Сотрудник 82,Михайлов П.М.,Разработка нового функционала,9,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки менторства,3
Сотрудник 83,Петров С.С.,Разработка нового функционала,9,"Аналитическое мышление, внимательность к рискам",10,Развивать навыки менторства,3
Сотрудник 84,Волков М.В.,Оптимизация производительности,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Улучшить документацию процессов,2
Сотрудник 85,Козлов П.И.,Оптимизация процессов,7,"Техническая экспертиза, креативность, самостоятельность",6,Улучшить документацию процессов,3
Сотрудник 86,Михайлов С.С.,Миграция системы,10,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки презентации результатов,3
Сотрудник 87,Петров В.С.,Автоматизация процессов,7,"Техническая экспертиза, креативность, самостоятельность",9,Улучшить документацию процессов,3
Сотрудник 88,Михайлов В.В.,Внедрение новых технологий,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки менторства,2
Сотрудник 89,Сидоров П.К.,Оптимизация процессов,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Усилить коммуникацию с другими отделами,3
Сотрудник 90,Петров К.С.,Разработка нового функционала,6,"Организованность, внимательность, стрессоустойчивость",9,Усилить коммуникацию с командой,3
Сотрудник 91,Иванов В.С.,Оптимизация производительности,7,"Организованность, внимательность, стрессоустойчивость",5,Улучшить документацию процессов,2
Сотрудник 92,Волков С.И.,Автоматизация процессов,6,"Техническая экспертиза, креативность, самостоятельность",7,Развивать навыки презентации результатов,3
Сотрудник 93,Петров М.П.,Разработка документации,7,"Системное мышление, внимание к деталям, ответственность",6,Улучшить документацию процессов,3
Сотрудник 94,Смирнов П.С.,Разработка документации,6,"Аналитическое мышление, внимательность к рискам",10,Развивать навыки менторства,3
Сотрудник 95,Смирнов С.И.,Оптимизация производительности,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Усилить коммуникацию с другими отделами,2
Сотрудник 96,Волков М.С.,Разработка нового функционала,8,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки презентации результатов,3
Сотрудник 97,Петров С.М.,Миграция системы,6,"Системное мышление, внимание к деталям, ответственность",6,Развивать навыки менторства,2
Сотрудник 98,Смирнов М.И.,Разработка документации,5,"Аналитическое мышление, внимательность к рискам",7,Усилить коммуникацию с другими отделами,2
Сотрудник 99,Петров В.В.,Автоматизация процессов,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки презентации результатов,3
Сотрудник 100,Иванов С.В.,Разработка нового функционала,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Усилить коммуникацию с другими отделами,3
Сотрудник 101,Иванов В.П.,Миграция системы,6,"Аналитическое мышление, внимательность к рискам",7,Усилить коммуникацию с командой,3
Сотрудник 102,Васильев С.В.,Внедрение новых технологий,10,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки презентации результатов,3
Сотрудник 103,Иванов К.К.,Улучшение безопасности,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Развивать навыки менторства,2
Сотрудник 104,Иванов С.М.,Оптимизация процессов,9,"Техническая экспертиза, креативность, самостоятельность",8,Усилить коммуникацию с командой,3
Сотрудник 105,Сидоров П.С.,Внедрение новых технологий,10,"Системное мышление, внимание к деталям, ответственность",5,Развивать навыки презентации результатов,3
Сотрудник 106,Козлов К.С.,Разработка нового функционала,10,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки презентации результатов,3
Сотрудник 107,Васильев М.В.,Разработка нового функционала,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Усилить коммуникацию с другими отделами,2
Сотрудник 108,Смирнов В.И.,Оптимизация производительности,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Улучшить документацию процессов,3
Сотрудник 109,Михайлов П.С.,Оптимизация процессов,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Улучшить документацию процессов,2
Сотрудник 110,Волков С.В.,Улучшение безопасности,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Развивать навыки менторства,3
Сотрудник 111,Козлов К.С.,Внедрение новых технологий,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки менторства,2
Сотрудник 112,Сидоров К.С.,Автоматизация процессов,9,"Организованность, внимательность, стрессоустойчивость",10,Улучшить документацию процессов,3
Сотрудник 113,Волков С.К.,Разработка нового функционала,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Улучшить документацию процессов,3
Сотрудник 114,Петров К.С.,Разработка нового функционала,8,"Организованность, внимательность, стрессоустойчивость",5,Развивать навыки менторства,3
Сотрудник 115,Волков С.П.,Разработка нового функционала,5,"Системное мышление, внимание к деталям, ответственность",5,Усилить коммуникацию с другими отделами,2
Сотрудник 116,Волков В.В.,Разработка документации,8,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с командой,3
Сотрудник 117,Козлов К.С.,Разработка документации,7,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с командой,2
Сотрудник 118,Волков К.П.,Внедрение новых технологий,9,"Организованность, внимательность, стрессоустойчивость",9,Развивать навыки презентации результатов,3
Сотрудник 119,Волков В.В.,Разработка нового функционала,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Усилить коммуникацию с другими отделами,3
Сотрудник 120,Сидоров В.В.,Внедрение новых технологий,6,"Организованность, внимательность, стрессоустойчивость",6,Развивать навыки презентации результатов,2
Сотрудник 121,Петров К.В.,Автоматизация процессов,6,"Системное мышление, внимание к деталям, ответственность",9,Усилить коммуникацию с другими отделами,3
Сотрудник 122,Смирнов С.В.,Улучшение безопасности,7,"Системное мышление, внимание к деталям, ответственность",9,Усилить коммуникацию с другими отделами,3
Сотрудник 123,Сидоров С.И.,Улучшение безопасности,10,"Техническая экспертиза, креативность, самостоятельность",7,Развивать навыки менторства,3
Сотрудник 124,Васильев В.С.,Внедрение новых технологий,10,"Техническая экспертиза, креативность, самостоятельность",8,Усилить коммуникацию с другими отделами,3
Сотрудник 125,Сидоров В.И.,Разработка документации,8,"Системное мышление, внимание к деталям, ответственность",7,Улучшить документацию процессов,3
Сотрудник 126,Волков В.С.,Разработка нового функционала,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Усилить коммуникацию с другими отделами,3
Сотрудник 127,Смирнов В.С.,Оптимизация процессов,6,"Техническая экспертиза, креативность, самостоятельность",5,Улучшить документацию процессов,2
Сотрудник 128,Иванов В.К.,Оптимизация процессов,10,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки менторства,3
Сотрудник 129,Васильев В.В.,Оптимизация процессов,5,"Техническая экспертиза, креативность, самостоятельность",5,Развивать навыки презентации результатов,2
Сотрудник 130,Волков П.И.,Автоматизация процессов,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Развивать навыки презентации результатов,3
Сотрудник 131,Козлов М.И.,Разработка документации,9,"Системное мышление, внимание к деталям, ответственность",10,Улучшить документацию процессов,3
Сотрудник 132,Козлов С.В.,Оптимизация производительности,9,"Организованность, внимательность, стрессоустойчивость",10,Развивать навыки менторства,3
Сотрудник 133,Михайлов В.К.,Оптимизация производительности,5,"Системное мышление, внимание к деталям, ответственность",6,Усилить коммуникацию с другими отделами,2
Сотрудник 134,Иванов С.С.,Улучшение безопасности,7,"Аналитическое мышление, внимательность к рискам",7,Усилить коммуникацию с другими отделами,3
Сотрудник 135,Иванов И.В.,Улучшение безопасности,10,"Техническая экспертиза, креативность, самостоятельность",8,Развивать навыки презентации результатов,3
Сотрудник 136,Михайлов М.С.,Разработка документации,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Усилить коммуникацию с командой,3
Сотрудник 137,Петров С.В.,Оптимизация производительности,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Развивать навыки презентации результатов,3
Сотрудник 138,Смирнов В.И.,Разработка нового функционала,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Усилить коммуникацию с командой,3
Сотрудник 139,Михайлов М.В.,Разработка документации,10,"Системное мышление, внимание к деталям, ответственность",6,Развивать навыки презентации результатов,3
Сотрудник 140,Смирнов С.В.,Оптимизация процессов,10,"Техническая экспертиза, креативность, самостоятельность",6,Улучшить документацию процессов,3
Сотрудник 141,Смирнов К.П.,Оптимизация производительности,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки менторства,2
Сотрудник 142,Волков В.М.,Оптимизация производительности,6,"Аналитическое мышление, внимательность к рискам",6,Улучшить документацию процессов,2
Сотрудник 143,Сидоров К.С.,Автоматизация процессов,10,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с другими отделами,3
Сотрудник 144,Сидоров К.П.,Миграция системы,9,"Аналитическое мышление, внимательность к рискам",9,Улучшить документацию процессов,3
Сотрудник 145,Иванов М.В.,Внедрение новых технологий,5,"Организованность, внимательность, стрессоустойчивость",7,Усилить коммуникацию с другими отделами,2
Сотрудник 146,Васильев М.П.,Внедрение новых технологий,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Развивать навыки презентации результатов,3
Сотрудник 147,Сидоров И.К.,Оптимизация производительности,10,"Аналитическое мышление, внимательность к рискам",5,Улучшить документацию процессов,3
Сотрудник 148,Сидоров В.И.,Автоматизация процессов,10,"Системное мышление, внимание к деталям, ответственность",9,Усилить коммуникацию с другими отделами,3
Сотрудник 149,Петров М.И.,Оптимизация производительности,10,"Аналитическое мышление, внимательность к рискам",9,Усилить коммуникацию с другими отделами,3
Сотрудник 150,Волков И.С.,Улучшение безопасности,6,"Организованность, внимательность, стрессоустойчивость",8,Развивать навыки менторства,3
Сотрудник 151,Волков В.С.,Миграция системы,8,"Системное мышление, внимание к деталям, ответственность",5,Улучшить документацию процессов,3
Сотрудник 152,Петров И.К.,Автоматизация процессов,5,"Организованность, внимательность, стрессоустойчивость",9,Развивать навыки презентации результатов,3
Сотрудник 153,Смирнов С.И.,Разработка документации,6,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки презентации результатов,2
Сотрудник 154,Козлов К.И.,Автоматизация процессов,8,"Организованность, внимательность, стрессоустойчивость",9,Развивать навыки презентации результатов,3
Сотрудник 155,Михайлов К.С.,Разработка документации,10,"Системное мышление, внимание к деталям, ответственность",6,Улучшить документацию процессов,3
Сотрудник 156,Козлов М.С.,Автоматизация процессов,5,"Организованность, внимательность, стрессоустойчивость",10,Усилить коммуникацию с другими отделами,3
Сотрудник 157,Смирнов К.С.,Миграция системы,7,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки презентации результатов,3
Сотрудник 158,Васильев С.М.,Улучшение безопасности,5,"Системное мышление, внимание к деталям, ответственность",7,Развивать навыки менторства,2
Сотрудник 159,Михайлов С.П.,Разработка документации,10,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с командой,3
Сотрудник 160,Волков С.К.,Автоматизация процессов,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Усилить коммуникацию с другими отделами,3
Сотрудник 161,Козлов В.В.,Разработка документации,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Развивать навыки менторства,3
Сотрудник 162,Михайлов С.П.,Миграция системы,7,"Организованность, внимательность, стрессоустойчивость",10,Улучшить документацию процессов,3
Сотрудник 163,Волков В.М.,Улучшение безопасности,5,"Системное мышление, внимание к деталям, ответственность",6,Развивать навыки менторства,2
Сотрудник 164,Иванов В.В.,Улучшение безопасности,8,"Системное мышление, внимание к деталям, ответственность",9,Улучшить документацию процессов,3
Сотрудник 165,Михайлов М.М.,Миграция системы,5,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки презентации результатов,2
Сотрудник 166,Смирнов П.С.,Автоматизация процессов,9,"Аналитическое мышление, внимательность к рискам",6,Улучшить документацию процессов,3
Сотрудник 167,Сидоров С.К.,Улучшение безопасности,5,"Организованность, внимательность, стрессоустойчивость",5,Развивать навыки презентации результатов,2
Сотрудник 168,Сидоров С.И.,Оптимизация производительности,6,"Техническая экспертиза, креативность, самостоятельность",6,Усилить коммуникацию с другими отделами,2
Сотрудник 169,Козлов П.В.,Оптимизация производительности,8,"Аналитическое мышление, внимательность к рискам",6,Улучшить документацию процессов,3
Сотрудник 170,Козлов И.С.,Автоматизация процессов,5,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки презентации результатов,2
